"","number","snippet","type_of_material"
"1721",1721,"WASHINGTON, Nov. 4.--A glimmering hope of a vote on ratification of the Peace Treaty by the end of the week loomed up today when the Senate, by unanimous consent, agreed to act tomorrow ...","Article"
"1722",1722,"Peace Conference receives indictments against German offenders in Belgium","Front Page"
"1723",1723,"The activity of the Extraordinary Grand Jury yesterday, who had caused subpoenas to be issued for more employes from the City Hall, coupled with the presence of two assistant District Attorneys before the jury as witnesses, started a rumor at the ...","Article"
"1724",1724,"I. L. Lee denies Plumb's charges","Article"
"1725",1725,"Will use blue flag instead of red","Article"
"1726",1726,"WASHINGTON, Nov. 5.--The execution under ""ley fuga"" of General Leopoldo Diaz Ceballos, formerly of the Mexican army; Captain Pedro S. Martinez, Antonio Orizaba and Patricio Fonseca has created great indignation throughout Mexico, according to advi...","Article"
"1727",1727,"The scarcity of sugar which is confronting the eastern section of the country today exists despite the fact that the United States has imported from other countries more sugar within the last eighteen months than at any time since before the war.","Article"
"1728",1728,"Sen Edge wants anti-trust laws to apply to all","Article"
"1729",1729,"Governor Alfred E. Smith, who spoke last night at the dinner of the Fifth Avenue Association at the WaldorfAstoria, asked the association to appoint a committee on laws and legislation to aid him in a program to abolish useless State boards and co...","Article"
"1730",1730,"Blair, Mrs J., and baby slain and house set on fire; husband sought","Article"
"1731",1731,"declines call","Article"
"1732",1732,"tells new Mexico coal mine opeators to keep up output","Article"
"1733",1733,"WASHINGTON, Nov. 4.--It was officially announced tonight that the Government would urge in the Federal District Court at Indianapolis next Saturday morning that the temporary restraining order issued by Judge Anderson ...","Article"
"1734",1734,"","Article"
"1735",1735,"","Article"
"1736",1736,"","Article"
"1737",1737,"","Article"
"1738",1738,"","Article"
"1739",1739,"","Article"
"1740",1740,"Youngstown police wear riot goggles as protection against ""red pepper riots"" by women","Article"
"1741",1741,"statement on re-election of Gov Coolidge in Mass.","Article"
"1742",1742,"recent additions","Article"
"1743",1743,"schemes for maternity benefits debated","Article"
"1744",1744,"","Article"
"1745",1745,"","Obituary"
"1746",1746,"In announcing the seizure of an illicit rectifying plant, Harry W. Mager, Chief Internal Revenue Agent, announced yesterday that it Would be the policy of his department to cut off the source of the alcohol supply from such places and thus definit...","Article"
"1747",1747,"","Article"
"1748",1748,"","Article"
"1749",1749,"","Letter"
"1750",1750,"","Article"
"1751",1751,"","Article"
"1752",1752,"race officially ends","Article"
"1753",1753,"Eighth Av & 159th St, old inn on Coogan estate destroyed","Article"
"1754",1754,"Adhesion announced by Minister to the U. S.","Article"
"1755",1755,"E: S. Brogan may be appointed Collector for Third N Y Dist","Article"
"1756",1756,"Counsel for Job E. Hedges, receiver of the New York Railways Company, were instructed yesterday by Federal Judge Mayer to inquire into the legal right of Mayor Hylan's bus service to operate in opposition to the Eighty-sixth Street Crosstown Railr...","Article"
"1757",1757,"Surprise was expressed yesterday when it was learned that members of the uniformed force in the fire Department had received what virtually amounted to an official warning not to vote for Representative La Guardia, the Republican candidate for Pre...","Article"
"1758",1758,"Fannie Harley, writer, lecturer, and originator of the ""bifucated harleys,"" talked last evening on ""The Irony of Fashion"" before the New York Evening School of Industrial Art in the auditorium of Public School 27, Fouty-second Street, near Third A...","Article"
"1759",1759,"Following the refusal of employers to meet their demands, which included recognition of the union, a closed shop, an eight-hour day, and increases in pay, the recently organized drug clerks went on strike yesterday in an attempt to ...","Article"
"1760",1760,"death","Article"
"1761",1761,"replies to request; declines to discipline Admiral Sims","Article"
"1762",1762,"ed on belief in spiritualism","Article"
"1763",1763,"Mrs. Milla D. Shonts, widow of Theodore P. Shonts, President of the Interburough Rapid Transit, was appointed temporary administratrix yesterday of the estate of her husband by Surrogate Fowler on her plea that she has made ...","Front Page"
"1764",1764,"sails from Italy to explore Africa","Article"
"1765",1765,"STRASBOURG, Nov. 4, (Associated Press.)--Premier Clemenceau's speech here today, considered his political valedictory to France, rose much above party politics. It was for the most part a plea for universal tolerance and social justice, and an app...","Article"
"1766",1766,"Tammany Hall went down to defeat once more in yesterday's city election, being beaten by the Republican and Independent candidates for the four principal offices voted for-Ex-Congressman F.H. La Guardia for President of the Board of Aldermen, Henr...","Front Page"
"1767",1767,"Col Ruppert denies report that site for new park is chosen","Article"
"1768",1768,"Jewish rabbis object to panel, entitled ""The Synagogue,"" added to Boston Public Library","Article"
"1769",1769,"ALBANY, Nov. 5.--Sixty-seven new corprorations with an aggregate capitalization of $3,260,000, were chartered today. They include:  ","Article"
"1770",1770,"","Article"
"1771",1771,"WASHINGTON, Nov. 5.--The Government and the National Coal Operators Association both announced this afternoon that further breaks in the ranks of the unionized miners had taken place within the last forty-eight hours.","Article"
"1772",1772,"tenants have right to hang out clothes from window, decides Magistrate Sweetser in case of Steel vs Ginburg","Article"
"1773",1773,"WASHINGTON, Nov. 4.--Secretary Baker and Senator Chamberlain, Democrat, Oregon, former Chairman of the Senate Military Committee, clashed sharply today at a hearing of a subcommittee dealing with the military justice controversy.","Article"
"1774",1774,"strike","Article"
"1775",1775,"Federal Judge Carpenter enters order authorizing refusal of compensation terms offered by Govt","Article"
"1776",1776,"There will be fewer Democratic Assemblymen from this city at Albany next year than at any session within the memory of a member of the present Legislature. Complete returns from Tuesday's election to the Legislature show that the next Assembly wil...","Article"
"1777",1777,"Louis H. Rowe, an attorney at 165 Broadway, for years identified with the coal industry, replied yesterday to the statement issued by Samuel Gompers, President of the American Federation of Labor, in which the labor leader took the coal operators ...","Article"
"1778",1778,"death","Obituary"
"1779",1779,"David, Dr.","Article"
"1780",1780,"WASHINGTON, Nov. 5.--Politicians of both parties are united in the opinion that the results of yesterday's elections do not reveal any indications of the trend of public sentiment on the Presidential election of 1920. But they are equally united i...","Front Page"
"1781",1781,"suicide","Article"
"1782",1782,"Suggested as candidate by C. E. M. Moore, lr","Article"
"1783",1783,"","Article"
"1784",1784,"","Front Page"
"1785",1785,"","Article"
"1786",1786,"","Article"
"1787",1787,"","Obituary"
"1788",1788,"When the 2,567 polling places closed last night at 6 o'clock, election officials said that New York had cast the heaviest off-year vote in its history, perhaps the greatest vote in any year.  ","Article"
"1789",1789,"","Article"
"1790",1790,"","Article"
"1791",1791,"","Obituary"
"1792",1792,"","Article"
"1793",1793,"NEW HAVEN, Conn., Nov. 6.--Only signal rehearsal way held by the Yale eleven today. The coaches have driven the team through the two longest scrimmage sessions of the season on consecutive days and announced tonight ...  ","Article"
"1794",1794,"","Article"
"1795",1795,"Ground broken for new bldgs","Article"
"1796",1796,"recovering from operation","Article"
"1797",1797,"Calvin Thomas, Professor of Germanic Languages and Literature at Columbia University for twenty-three years, died suddenly yesterday morning of heart disease at his home, 490 Riverside Drive.","Article"
"1798",1798,"Gen Rozanoff recalled from Vladivostok by All-Russian Govt","Article"
